timestamp,temperature,occupancy,hvac_load,solar_output,tariff,load
2025-01-01 00:00:00,22.75,15,55.44,0.0,8,233.37
2025-01-01 01:00:00,24.0,23,82.56,0.0,8,299.09
2025-01-01 02:00:00,24.36,8,64.3,0.0,8,216.36
2025-01-01 03:00:00,26.12,6,82.49,0.0,8,230.56
2025-01-01 04:00:00,26.68,6,89.16,0.0,8,252.93
2025-01-01 05:00:00,26.13,16,97.61,0.0,8,272.63
2025-01-01 06:00:00,27.03,14,105.4,0.0,8,276.98
2025-01-01 07:00:00,26.45,23,111.94,31.06,8,305.48
2025-01-01 08:00:00,26.54,62,171.53,60.0,8,445.01
2025-01-01 09:00:00,26.16,68,175.93,84.85,8,474.42
2025-01-01 10:00:00,23.6,79,161.69,103.92,8,465.31
2025-01-01 11:00:00,24.46,67,154.05,115.91,8,421.54
2025-01-01 12:00:00,23.23,61,130.31,120.0,18,383.99
2025-01-01 13:00:00,18.64,63,94.5,115.91,18,365.2
2025-01-01 14:00:00,19.83,74,111.0,103.92,18,422.23
2025-01-01 15:00:00,18.29,75,112.5,84.85,18,407.98
2025-01-01 16:00:00,18.07,83,124.5,60.0,18,465.13
2025-01-01 17:00:00,15.15,88,132.0,31.06,8,444.79
2025-01-01 18:00:00,17.87,94,141.0,0.0,8,492.32
2025-01-01 19:00:00,17.88,39,58.5,0.0,8,306.05
2025-01-01 20:00:00,16.41,36,54.0,0.0,8,271.36
2025-01-01 21:00:00,18.21,30,45.0,0.0,8,272.47
2025-01-01 22:00:00,19.23,53,79.5,0.0,8,329.34
2025-01-01 23:00:00,22.13,7,36.07,0.0,8,225.97
2025-01-02 00:00:00,20.44,18,32.32,0.0,8,217.18
2025-01-02 01:00:00,24.0,18,74.95,0.0,8,271.99
2025-01-02 02:00:00,29.56,19,143.2,0.0,8,317.4
2025-01-02 03:00:00,25.31,23,98.22,0.0,8,279.73
2025-01-02 04:00:00,26.46,24,113.53,0.0,8,307.04
2025-01-02 05:00:00,29.52,9,127.75,0.0,8,304.46
2025-01-02 06:00:00,26.2,15,96.88,0.0,8,254.45
2025-01-02 07:00:00,29.26,6,120.17,31.06,8,294.52
2025-01-02 08:00:00,24.13,65,147.06,60.0,8,440.45
2025-01-02 09:00:00,23.31,79,158.24,84.85,8,462.81
2025-01-02 10:00:00,24.65,87,186.25,103.92,8,524.78
2025-01-02 11:00:00,24.38,60,142.56,115.91,8,408.73
2025-01-02 12:00:00,21.41,72,124.94,120.0,18,396.99
2025-01-02 13:00:00,16.72,96,144.0,115.91,18,491.18
2025-01-02 14:00:00,17.86,83,124.5,103.92,18,454.22
2025-01-02 15:00:00,18.22,91,136.5,84.85,18,474.56
2025-01-02 16:00:00,14.53,71,106.5,60.0,18,417.46
2025-01-02 17:00:00,17.14,96,144.0,31.06,8,460.9
2025-01-02 18:00:00,17.09,82,123.0,0.0,8,473.95
2025-01-02 19:00:00,17.89,48,72.0,0.0,8,314.11
2025-01-02 20:00:00,18.18,55,82.5,0.0,8,372.12
2025-01-02 21:00:00,20.18,56,86.14,0.0,8,359.42
2025-01-02 22:00:00,20.59,34,58.1,0.0,8,266.81
2025-01-02 23:00:00,22.81,15,56.26,0.0,8,257.15
2025-01-03 00:00:00,22.77,13,52.72,0.0,8,236.88
2025-01-03 01:00:00,21.81,7,32.2,0.0,8,187.71
2025-01-03 02:00:00,27.06,23,119.22,0.0,8,328.32
2025-01-03 03:00:00,26.87,24,118.4,0.0,8,325.48
2025-01-03 04:00:00,24.74,5,64.34,0.0,8,231.44
2025-01-03 05:00:00,27.47,12,107.66,0.0,8,244.61
2025-01-03 06:00:00,26.42,22,110.01,0.0,8,290.73
2025-01-03 07:00:00,28.05,20,126.6,31.06,8,298.14
2025-01-03 08:00:00,28.38,61,192.01,60.0,8,502.1
2025-01-03 09:00:00,27.04,68,186.44,84.85,8,474.72
2025-01-03 10:00:00,25.95,75,183.87,103.92,8,467.89
2025-01-03 11:00:00,24.22,70,155.65,115.91,8,463.9
2025-01-03 12:00:00,23.28,84,165.37,120.0,18,510.2
2025-01-03 13:00:00,20.97,94,152.62,115.91,18,472.37
2025-01-03 14:00:00,17.71,92,138.0,103.92,18,481.85
2025-01-03 15:00:00,18.46,79,118.5,84.85,18,420.75
2025-01-03 16:00:00,19.68,62,93.0,60.0,18,355.98
2025-01-03 17:00:00,18.4,71,106.5,31.06,8,426.95
2025-01-03 18:00:00,20.41,81,126.42,0.0,8,440.62
2025-01-03 19:00:00,18.49,56,84.0,0.0,8,342.41
2025-01-03 20:00:00,14.77,30,45.0,0.0,8,242.29
2025-01-03 21:00:00,18.07,34,51.0,0.0,8,309.8
2025-01-03 22:00:00,19.49,33,49.5,0.0,8,241.94
2025-01-03 23:00:00,20.77,21,40.73,0.0,8,230.67
2025-01-04 00:00:00,21.98,18,50.79,0.0,8,239.65
2025-01-04 01:00:00,22.96,13,55.01,0.0,8,241.72
2025-01-04 02:00:00,24.31,18,78.7,0.0,8,269.83
2025-01-04 03:00:00,24.86,5,65.78,0.0,8,237.44
2025-01-04 04:00:00,24.94,14,80.29,0.0,8,250.6
2025-01-04 05:00:00,27.09,12,103.07,0.0,8,282.85
2025-01-04 06:00:00,25.28,14,84.34,0.0,8,283.19
2025-01-04 07:00:00,27.37,5,95.9,31.06,8,264.31
2025-01-04 08:00:00,26.96,11,100.0,60.0,8,261.07
2025-01-04 09:00:00,26.89,7,93.22,84.85,8,248.16
2025-01-04 10:00:00,25.49,11,82.32,103.92,8,232.78
2025-01-04 11:00:00,25.45,5,72.9,115.91,8,233.01
2025-01-04 12:00:00,21.75,18,48.02,120.0,18,223.72
2025-01-04 13:00:00,20.23,6,11.8,115.91,18,185.18
2025-01-04 14:00:00,19.75,23,34.5,103.92,18,217.66
2025-01-04 15:00:00,21.94,21,54.74,84.85,18,218.73
2025-01-04 16:00:00,16.33,5,7.5,60.0,18,162.48
2025-01-04 17:00:00,16.36,16,24.0,31.06,8,217.65
2025-01-04 18:00:00,15.9,17,25.5,0.0,8,212.75
2025-01-04 19:00:00,16.61,32,48.0,0.0,8,242.63
2025-01-04 20:00:00,19.72,42,63.0,0.0,8,309.43
2025-01-04 21:00:00,18.3,48,72.0,0.0,8,310.71
2025-01-04 22:00:00,18.31,34,51.0,0.0,8,267.28
2025-01-04 23:00:00,23.38,5,48.03,0.0,8,197.87
2025-01-05 00:00:00,21.5,6,26.98,0.0,8,184.22
2025-01-05 01:00:00,22.82,12,51.78,0.0,8,222.71
2025-01-05 02:00:00,24.78,11,73.81,0.0,8,254.48
2025-01-05 03:00:00,24.35,7,62.75,0.0,8,255.6
2025-01-05 04:00:00,25.23,9,76.31,0.0,8,225.11
2025-01-05 05:00:00,26.32,9,89.35,0.0,8,245.12
2025-01-05 06:00:00,26.58,24,114.95,0.0,8,303.89
2025-01-05 07:00:00,27.88,8,106.54,31.06,8,281.54
2025-01-05 08:00:00,25.95,14,92.42,60.0,8,251.7
2025-01-05 09:00:00,25.54,9,79.96,84.85,8,259.3
2025-01-05 10:00:00,25.96,20,101.51,103.92,8,314.67
2025-01-05 11:00:00,22.99,24,71.88,115.91,8,270.8
2025-01-05 12:00:00,19.15,5,7.5,120.0,18,186.71
2025-01-05 13:00:00,23.91,9,60.37,115.91,18,199.08
2025-01-05 14:00:00,21.21,12,32.47,103.92,18,213.17
2025-01-05 15:00:00,17.73,12,18.0,84.85,18,195.11
2025-01-05 16:00:00,20.0,6,9.03,60.0,18,156.31
